maxhap[0]	maxhap[1]	maxhap[2]	maxhap[3]	
0.166667	0.3	0.166667	0.166667	
0.2	0.4	0.125	0.166667	
0.333333	0.3	0.0833333	0.333333	
0.133333	0.4	0.125	0.166667	
0.266667	0.7	0.125	0.25	
0.166667	0.4	0.125	0.333333	
0.3	0.4	0.208333	0.166667	
0.233333	0.4	0.0833333	0.166667	
0.266667	0.7	0.125	0.166667	
0.3	0.4	0.125	0.166667	
0.166667	0.6	0.125	0.0833333	
0.2	0.5	0.125	0.0833333	
0.266667	0.7	0.0833333	0.25	
0.166667	0.7	0.166667	0.25	
0.266667	0.6	0.0833333	0.25	
0.166667	0.4	0.125	0.166667	
0.2	0.3	0.166667	0.166667	
0.2	0.4	0.125	0.25	
0.166667	0.6	0.166667	0.166667	
0.133333	0.9	0.166667	0.166667	
0.2	0.4	0.125	0.0833333	
0.266667	0.3	0.166667	0.166667	
0.133333	0.4	0.0833333	0.166667	
0.2	0.3	0.0833333	0.166667	
0.166667	0.3	0.125	0.166667	
0.133333	0.4	0.125	0.25	
0.4	0.8	0.125	0.166667	
0.166667	0.4	0.125	0.166667	
0.3	0.4	0.125	0.166667	
0.266667	0.3	0.0833333	0.166667	
0.166667	0.4	0.0833333	0.25	
0.166667	0.5	0.166667	0.166667	
0.166667	0.5	0.125	0.25	
0.2	0.4	0.125	0.333333	
0.2	0.4	0.0833333	0.25	
0.2	0.4	0.208333	0.166667	
0.133333	0.3	0.0833333	0.166667	
0.333333	0.3	0.125	0.166667	
0.166667	0.4	0.0833333	0.25	
0.4	0.5	0.166667	0.166667	
0.266667	0.5	0.125	0.166667	
0.266667	0.4	0.125	0.166667	
0.166667	0.4	0.125	0.166667	
0.2	0.4	0.0833333	0.25	
0.2	0.3	0.125	0.25	
0.3	0.4	0.166667	0.25	
0.333333	0.3	0.125	0.0833333	
0.266667	0.5	0.125	0.25	
0.2	0.5	0.125	0.25	
0.233333	0.3	0.166667	0.166667	
0.233333	0.8	0.125	0.166667	
0.233333	0.6	0.125	0.25	
0.133333	0.5	0.166667	0.25	
0.4	0.7	0.125	0.5	
0.2	0.3	0.125	0.166667	
0.433333	0.6	0.0833333	0.166667	
0.566667	0.8	0.125	0.25	
0.2	0.7	0.125	0.166667	
0.2	0.4	0.208333	0.166667	
0.266667	0.6	0.125	0.25	
0.2	0.3	0.0833333	0.0833333	
0.233333	0.4	0.125	0.166667	
0.3	0.4	0.0833333	0.333333	
0.233333	0.3	0.125	0.25	
0.133333	0.3	0.125	0.166667	
0.233333	0.4	0.0833333	0.166667	
0.2	0.7	0.0833333	0.0833333	
0.233333	0.3	0.0833333	0.0833333	
0.266667	0.6	0.125	0.333333	
0.166667	0.6	0.0833333	0.166667	
0.233333	0.4	0.125	0.166667	
0.166667	0.3	0.125	0.25	
0.266667	0.6	0.166667	0.166667	
0.166667	0.8	0.125	0.166667	
0.366667	0.6	0.0833333	0.0833333	
0.166667	0.6	0.166667	0.166667	
0.333333	0.4	0.208333	0.166667	
0.2	0.4	0.125	0.166667	
0.233333	0.8	0.125	0.166667	
0.2	0.6	0.0833333	0.166667	
0.3	0.5	0.125	0.166667	
0.166667	0.3	0.0833333	0.166667	
0.166667	0.4	0.125	0.25	
0.266667	0.5	0.166667	0.166667	
0.333333	0.4	0.125	0.25	
0.166667	0.4	0.166667	0.25	
0.3	0.3	0.125	0.166667	
0.333333	0.5	0.125	0.333333	
0.1	0.3	0.125	0.166667	
0.233333	0.3	0.0833333	0.25	
0.2	0.6	0.125	0.0833333	
0.233333	0.6	0.125	0.25	
0.233333	0.5	0.0833333	0.0833333	
0.2	0.7	0.166667	0.25	
0.366667	0.4	0.125	0.166667	
0.2	0.3	0.125	0.25	
0.166667	0.4	0.166667	0.166667	
0.133333	0.3	0.125	0.166667	
0.233333	0.4	0.125	0.166667	
0.166667	0.4	0.125	0.25	
0.166667	0.5	0.0833333	0.25	
0.5	0.3	0.125	0.0833333	
0.133333	0.4	0.0833333	0.166667	
0.2	0.4	0.125	0.416667	
0.2	0.5	0.125	0.166667	
0.133333	1	0.125	0.0833333	
0.2	0.5	0.166667	0.333333	
0.133333	0.4	0.125	0.166667	
0.166667	0.4	0.0833333	0.166667	
0.2	0.5	0.0833333	0.25	
0.133333	0.9	0.125	0.166667	
0.2	0.9	0.0833333	0.166667	
0.233333	0.7	0.166667	0.166667	
0.266667	0.3	0.166667	0.166667	
0.233333	0.5	0.125	0.333333	
0.3	0.4	0.125	0.166667	
0.266667	0.3	0.0833333	0.166667	
0.233333	0.6	0.125	0.25	
0.333333	0.5	0.125	0.25	
0.266667	0.4	0.0833333	0.25	
0.233333	0.4	0.166667	0.166667	
0.166667	0.4	0.125	0.25	
0.166667	0.6	0.25	0.166667	
0.166667	0.6	0.166667	0.166667	
0.2	0.3	0.125	0.166667	
0.233333	0.4	0.166667	0.166667	
0.133333	0.5	0.0833333	0.166667	
0.333333	0.5	0.125	0.25	
0.133333	0.6	0.0833333	0.166667	
0.166667	0.3	0.166667	0.0833333	
0.166667	0.4	0.125	0.166667	
0.166667	0.4	0.0833333	0.166667	
0.2	0.5	0.0833333	0.0833333	
0.166667	0.4	0.166667	0.166667	
0.266667	0.4	0.0833333	0.166667	
0.233333	0.4	0.125	0.166667	
0.333333	0.3	0.125	0.25	
0.133333	0.6	0.0833333	0.166667	
0.2	0.5	0.0833333	0.166667	
0.2	0.7	0.125	0.0833333	
0.133333	1	0.0833333	0.166667	
0.233333	0.6	0.125	0.166667	
0.2	0.5	0.125	0.166667	
0.266667	0.3	0.166667	0.5	
0.166667	0.4	0.0833333	0.166667	
0.2	0.4	0.125	0.166667	
0.366667	0.3	0.0833333	0.25	
0.433333	0.7	0.125	0.166667	
0.2	0.3	0.166667	0.166667	
0.333333	0.9	0.125	0.166667	
0.3	0.6	0.0833333	0.166667	
0.266667	0.4	0.0833333	0.166667	
0.3	0.6	0.125	0.166667	
0.366667	0.7	0.0833333	0.333333	
0.166667	0.4	0.125	0.166667	
0.233333	0.3	0.0833333	0.166667	
0.333333	0.5	0.125	0.0833333	
0.3	0.6	0.166667	0.166667	
0.333333	0.4	0.125	0.166667	
0.266667	0.7	0.0833333	0.166667	
0.233333	0.3	0.125	0.166667	
0.233333	0.5	0.25	0.25	
0.233333	0.4	0.0833333	0.333333	
0.233333	0.6	0.0833333	0.0833333	
0.266667	0.4	0.0833333	0.166667	
0.166667	0.2	0.166667	0.166667	
0.3	0.4	0.0833333	0.25	
0.133333	0.9	0.166667	0.166667	
0.166667	0.7	0.166667	0.166667	
0.266667	0.4	0.125	0.25	
0.2	0.4	0.0833333	0.25	
0.4	0.3	0.125	0.166667	
0.333333	0.9	0.125	0.25	
0.166667	0.3	0.125	0.166667	
0.3	0.4	0.125	0.25	
0.2	0.7	0.0833333	0.25	
0.433333	0.3	0.208333	0.25	
0.333333	0.6	0.166667	0.0833333	
0.2	0.5	0.125	0.166667	
0.166667	0.4	0.125	0.166667	
0.3	0.5	0.166667	0.166667	
0.166667	0.3	0.0833333	0.333333	
0.233333	0.6	0.166667	0.166667	
0.166667	0.3	0.125	0.166667	
0.3	0.4	0.125	0.166667	
0.433333	0.3	0.125	0.166667	
0.166667	0.4	0.125	0.166667	
0.233333	0.4	0.0833333	0.166667	
0.166667	0.2	0.125	0.25	
0.166667	0.4	0.166667	0.25	
0.166667	0.5	0.125	0.25	
0.266667	0.5	0.0833333	0.0833333	
0.166667	0.6	0.125	0.25	
0.166667	0.8	0.166667	0.166667	
0.333333	0.4	0.0833333	0.25	
0.2	0.8	0.125	0.25	
0.2	0.5	0.125	0.0833333	
0.1	0.5	0.166667	0.166667	
0.266667	0.3	0.125	0.166667	
0.166667	0.8	0.125	0.333333	
0.233333	0.6	0.125	0.25	
0.266667	0.4	0.125	0.25	
0.233333	0.4	0.166667	0.25	
0.2	0.6	0.0833333	0.166667	
0.166667	0.6	0.125	0.0833333	
0.2	0.2	0.125	0.25	
0.233333	0.4	0.0833333	0.166667	
0.166667	0.4	0.166667	0.166667	
0.166667	0.4	0.0833333	0.166667	
0.2	0.7	0.166667	0.25	
0.233333	0.7	0.125	0.25	
0.266667	0.3	0.0833333	0.25	
0.133333	0.6	0.125	0.25	
0.2	0.8	0.125	0.166667	
0.333333	0.4	0.166667	0.25	
0.3	0.5	0.0833333	0.166667	
0.233333	0.6	0.125	0.166667	
0.2	0.5	0.125	0.166667	
0.233333	0.3	0.125	0.333333	
0.166667	0.7	0.125	0.166667	
0.2	0.4	0.0833333	0.25	
0.2	0.5	0.125	0.166667	
0.2	0.3	0.0833333	0.166667	
0.3	0.6	0.208333	0.333333	
0.2	0.4	0.125	0.166667	
0.366667	0.5	0.0833333	0.25	
0.466667	0.3	0.0833333	0.166667	
0.333333	0.5	0.208333	0.333333	
0.166667	0.4	0.125	0.166667	
0.233333	0.6	0.125	0.25	
0.333333	0.6	0.0833333	0.166667	
0.233333	0.8	0.0833333	0.25	
0.166667	0.2	0.125	0.166667	
0.233333	0.5	0.0833333	0.25	
0.3	0.3	0.166667	0.166667	
0.233333	0.5	0.0833333	0.25	
0.2	0.4	0.125	0.416667	
0.166667	0.4	0.125	0.166667	
0.133333	0.4	0.166667	0.0833333	
0.266667	0.2	0.125	0.166667	
0.3	0.6	0.0833333	0.25	
0.166667	0.4	0.166667	0.166667	
0.2	0.5	0.125	0.166667	
0.3	0.3	0.0833333	0.166667	
0.166667	0.8	0.125	0.0833333	
0.233333	0.3	0.125	0.333333	
0.3	0.5	0.0833333	0.166667	
0.1	0.4	0.125	0.166667	
0.166667	0.7	0.0833333	0.166667	
0.3	0.3	0.0833333	0.166667	
0.266667	0.3	0.125	0.25	
0.166667	0.6	0.125	0.25	
0.1	0.7	0.125	0.25	
0.233333	0.3	0.0833333	0.166667	
0.166667	0.3	0.0833333	0.25	
0.333333	0.6	0.125	0.166667	
0.133333	0.3	0.0833333	0.416667	
0.166667	0.3	0.125	0.25	
0.2	0.5	0.125	0.166667	
0.166667	0.4	0.208333	0.333333	
0.133333	0.8	0.125	0.166667	
0.233333	0.3	0.208333	0.166667	
0.233333	0.5	0.0833333	0.166667	
0.333333	0.4	0.125	0.166667	
0.333333	0.7	0.125	0.166667	
0.133333	0.5	0.0833333	0.25	
0.166667	0.6	0.0833333	0.25	
0.266667	0.3	0.125	0.25	
0.2	0.4	0.0833333	0.166667	
0.166667	0.2	0.125	0.166667	
0.2	0.8	0.125	0.166667	
0.2	0.4	0.0833333	0.166667	
0.166667	0.8	0.125	0.166667	
0.266667	0.4	0.125	0.166667	
0.4	0.6	0.166667	0.166667	
0.166667	0.5	0.0833333	0.0833333	
0.166667	0.3	0.291667	0.166667	
0.133333	0.2	0.0833333	0.166667	
0.233333	0.5	0.166667	0.166667	
0.133333	0.7	0.125	0.166667	
0.333333	0.5	0.208333	0.166667	
0.133333	0.4	0.125	0.166667	
0.266667	0.5	0.208333	0.166667	
0.133333	0.4	0.25	0.166667	
0.166667	0.5	0.0833333	0.25	
0.166667	0.7	0.0833333	0.166667	
0.133333	0.3	0.125	0.25	
0.133333	0.3	0.125	0.166667	
0.233333	0.4	0.208333	0.25	
0.3	0.4	0.166667	0.166667	
0.233333	0.6	0.0833333	0.25	
0.233333	0.5	0.0833333	0.0833333	
0.166667	0.5	0.125	0.25	
0.266667	0.4	0.125	0.166667	
0.2	0.5	0.0833333	0.166667	
0.233333	0.2	0.125	0.166667	
0.2	0.5	0.0833333	0.166667	
0.166667	0.4	0.0833333	0.166667	
0.166667	0.4	0.125	0.25	
0.333333	0.6	0.125	0.166667	
0.2	0.4	0.125	0.25	
0.233333	0.3	0.0833333	0.166667	
0.2	0.4	0.125	0.166667	
0.266667	0.3	0.0833333	0.166667	
0.333333	0.4	0.166667	0.166667	
0.2	0.6	0.125	0.166667	
0.266667	0.3	0.166667	0.166667	
0.3	0.4	0.125	0.25	
0.3	0.4	0.0833333	0.166667	
0.166667	0.4	0.0833333	0.166667	
0.166667	0.6	0.125	0.166667	
0.166667	0.3	0.0833333	0.25	
0.3	0.4	0.125	0.0833333	
0.2	0.5	0.125	0.25	
0.233333	0.5	0.125	0.166667	
0.133333	0.5	0.0833333	0.333333	
0.266667	0.5	0.0833333	0.166667	
0.3	0.4	0.0833333	0.166667	
0.233333	0.4	0.125	0.333333	
0.266667	0.4	0.125	0.25	
0.133333	0.6	0.0833333	0.25	
0.133333	0.3	0.125	0.25	
0.166667	0.8	0.166667	0.0833333	
0.233333	0.6	0.166667	0.166667	
0.3	0.5	0.125	0.166667	
0.2	0.5	0.125	0.166667	
0.133333	0.6	0.125	0.25	
0.233333	0.7	0.166667	0.166667	
0.133333	0.6	0.125	0.166667	
0.2	0.6	0.125	0.166667	
0.2	0.5	0.0833333	0.166667	
0.133333	0.4	0.0833333	0.25	
0.333333	0.6	0.166667	0.166667	
0.366667	0.3	0.125	0.0833333	
0.266667	0.5	0.0833333	0.166667	
0.266667	0.8	0.166667	0.166667	
0.166667	0.4	0.208333	0.25	
0.266667	0.4	0.166667	0.25	
0.366667	0.4	0.125	0.416667	
0.4	0.4	0.125	0.166667	
0.266667	0.6	0.0833333	0.25	
0.133333	0.3	0.0833333	0.333333	
0.166667	0.3	0.0833333	0.166667	
0.166667	0.5	0.208333	0.166667	
0.166667	0.5	0.0833333	0.166667	
0.266667	0.6	0.0833333	0.166667	
0.166667	0.5	0.166667	0.333333	
0.166667	0.3	0.125	0.25	
0.2	0.4	0.25	0.166667	
0.433333	0.3	0.125	0.25	
0.2	0.5	0.125	0.166667	
0.233333	0.5	0.125	0.25	
0.466667	0.2	0.125	0.25	
0.166667	0.4	0.25	0.25	
0.233333	0.4	0.166667	0.25	
0.166667	0.3	0.125	0.166667	
0.2	0.6	0.125	0.0833333	
0.233333	0.3	0.125	0.166667	
0.166667	0.5	0.125	0.166667	
0.2	0.4	0.125	0.333333	
0.233333	0.2	0.125	0.166667	
0.266667	0.4	0.125	0.166667	
0.233333	0.5	0.125	0.416667	
0.166667	0.4	0.125	0.166667	
0.233333	0.4	0.125	0.166667	
0.233333	0.5	0.0833333	0.25	
0.233333	0.7	0.125	0.25	
0.133333	0.4	0.125	0.166667	
0.166667	0.5	0.125	0.166667	
0.166667	0.4	0.0833333	0.166667	
0.166667	0.4	0.0833333	0.166667	
0.2	0.3	0.125	0.25	
0.2	0.5	0.125	0.25	
0.4	0.4	0.125	0.166667	
0.233333	0.3	0.125	0.25	
0.466667	0.6	0.0833333	0.25	
0.3	0.4	0.166667	0.25	
0.166667	0.4	0.166667	0.25	
0.4	0.3	0.0833333	0.333333	
0.266667	0.6	0.0833333	0.25	
0.333333	0.5	0.0833333	0.333333	
0.366667	0.5	0.0833333	0.166667	
0.133333	0.4	0.0833333	0.0833333	
0.166667	0.3	0.125	0.166667	
0.3	0.4	0.208333	0.25	
0.266667	0.6	0.125	0.25	
0.4	0.8	0.125	0.166667	
0.366667	0.5	0.125	0.166667	
0.233333	0.2	0.0833333	0.166667	
0.166667	0.3	0.208333	0.166667	
0.2	0.4	0.125	0.166667	
0.3	0.4	0.125	0.25	
0.266667	0.8	0.125	0.166667	
0.233333	0.2	0.125	0.333333	
0.133333	0.2	0.0833333	0.25	
0.2	0.4	0.0833333	0.333333	
0.3	0.3	0.125	0.166667	
0.133333	0.5	0.125	0.166667	
0.233333	0.5	0.125	0.166667	
0.2	0.4	0.166667	0.166667	
0.333333	0.5	0.166667	0.25	
0.366667	0.3	0.125	0.25	
0.4	0.7	0.0833333	0.166667	
0.3	0.7	0.166667	0.166667	
0.233333	0.7	0.125	0.166667	
0.3	0.4	0.0833333	0.25	
0.2	0.5	0.0833333	0.166667	
0.266667	0.4	0.0833333	0.166667	
0.233333	0.6	0.125	0.166667	
0.166667	0.5	0.125	0.166667	
0.133333	0.4	0.0833333	0.166667	
0.166667	0.3	0.208333	0.166667	
0.166667	0.4	0.0833333	0.166667	
0.166667	0.3	0.125	0.166667	
0.2	0.6	0.125	0.166667	
0.2	0.4	0.125	0.166667	
0.233333	0.4	0.125	0.25	
0.2	0.3	0.125	0.166667	
0.233333	0.6	0.125	0.25	
0.2	0.4	0.166667	0.25	
0.2	0.5	0.125	0.166667	
0.133333	0.6	0.125	0.25	
0.333333	0.5	0.125	0.25	
0.233333	0.3	0.0833333	0.166667	
0.233333	0.4	0.0833333	0.166667	
0.133333	0.5	0.0833333	0.25	
0.133333	0.4	0.125	0.25	
0.233333	0.4	0.125	0.166667	
0.166667	0.4	0.125	0.416667	
0.2	0.5	0.125	0.25	
0.2	0.2	0.0833333	0.166667	
0.266667	0.4	0.125	0.166667	
0.2	0.7	0.166667	0.25	
0.266667	0.7	0.166667	0.166667	
0.133333	0.5	0.0833333	0.166667	
0.333333	0.4	0.0833333	0.25	
0.2	0.5	0.125	0.25	
0.233333	0.4	0.208333	0.25	
0.1	1	0.166667	0.0833333	
0.166667	0.6	0.0833333	0.166667	
0.266667	0.5	0.0833333	0.166667	
0.166667	0.6	0.166667	0.166667	
0.166667	0.4	0.166667	0.0833333	
0.133333	0.4	0.125	0.166667	
0.166667	0.4	0.166667	0.166667	
0.2	0.4	0.0833333	0.416667	
0.233333	0.8	0.0833333	0.166667	
0.133333	0.5	0.0833333	0.333333	
0.2	0.3	0.125	0.166667	
0.533333	0.6	0.125	0.333333	
0.3	0.6	0.125	0.25	
0.433333	0.3	0.0833333	0.166667	
0.166667	0.5	0.166667	0.166667	
0.233333	0.3	0.125	0.166667	
0.166667	0.4	0.0833333	0.25	
0.4	0.4	0.0833333	0.166667	
0.166667	0.5	0.125	0.25	
0.2	0.9	0.125	0.0833333	
0.166667	0.5	0.0833333	0.25	
0.2	0.4	0.125	0.166667	
0.233333	0.5	0.0833333	0.0833333	
0.133333	0.4	0.125	0.166667	
0.233333	0.4	0.125	0.0833333	
0.233333	0.4	0.125	0.0833333	
0.1	0.5	0.125	0.25	
0.333333	0.5	0.125	0.166667	
0.233333	0.5	0.125	0.333333	
0.133333	0.4	0.125	0.25	
0.133333	0.3	0.208333	0.166667	
0.333333	0.5	0.166667	0.166667	
0.3	0.6	0.125	0.166667	
0.3	0.7	0.125	0.166667	
0.2	0.5	0.125	0.166667	
0.2	0.5	0.125	0.25	
0.2	0.4	0.125	0.166667	
0.3	0.4	0.125	0.166667	
0.233333	0.5	0.0833333	0.166667	
0.2	0.5	0.125	0.166667	
0.2	0.6	0.125	0.166667	
0.166667	0.6	0.166667	0.166667	
0.166667	0.4	0.0833333	0.166667	
0.333333	0.5	0.125	0.166667	
0.266667	0.6	0.166667	0.25	
0.233333	0.4	0.125	0.166667	
0.166667	0.3	0.166667	0.25	
0.166667	0.3	0.125	0.25	
0.4	0.4	0.125	0.25	
0.233333	0.6	0.125	0.166667	
0.333333	0.6	0.125	0.25	
0.2	0.4	0.0833333	0.25	
0.266667	0.7	0.125	0.166667	
0.2	0.3	0.125	0.166667	
0.266667	0.4	0.0833333	0.166667	
0.366667	0.3	0.125	0.166667	
0.4	0.4	0.0833333	0.166667	
0.233333	0.3	0.0833333	0.333333	
0.5	0.3	0.125	0.333333	
0.266667	0.4	0.166667	0.166667	
0.233333	0.4	0.125	0.166667	
0.166667	0.3	0.125	0.25	
0.266667	0.3	0.125	0.166667	
0.133333	0.3	0.125	0.25	
0.266667	0.4	0.125	0.0833333	
0.166667	0.4	0.125	0.0833333	
0.3	0.4	0.125	0.25	
0.266667	0.3	0.0833333	0.166667	
0.266667	0.3	0.125	0.0833333	
0.433333	0.5	0.0833333	0.25	
0.266667	0.3	0.125	0.166667	
0.266667	0.3	0.125	0.166667	
0.166667	0.3	0.125	0.25	
0.2	0.6	0.0833333	0.333333	
0.133333	0.5	0.166667	0.166667	
0.166667	0.2	0.125	0.333333	
0.133333	0.5	0.125	0.166667	
0.133333	0.5	0.0833333	0.25	
0.233333	0.5	0.125	0.0833333	
0.166667	0.5	0.125	0.166667	
0.266667	0.5	0.166667	0.0833333	
0.2	0.9	0.0833333	0.25	
0.2	0.8	0.125	0.166667	
0.166667	0.5	0.125	0.25	
0.2	0.6	0.0833333	0.166667	
0.333333	0.4	0.125	0.166667	
0.333333	0.5	0.125	0.333333	
0.233333	0.5	0.0833333	0.25	
0.333333	0.6	0.0833333	0.166667	
0.2	0.3	0.0833333	0.0833333	
0.3	0.4	0.0833333	0.0833333	
0.233333	0.4	0.125	0.166667	
0.3	0.3	0.166667	0.25	
0.133333	0.5	0.125	0.25	
0.333333	0.5	0.208333	0.166667	
0.266667	0.5	0.166667	0.25	
0.4	0.6	0.125	0.166667	
0.2	0.7	0.166667	0.25	
0.233333	0.5	0.125	0.25	
0.366667	0.5	0.0833333	0.166667	
0.133333	0.2	0.0833333	0.0833333	
0.266667	0.6	0.166667	0.0833333	
0.2	0.5	0.125	0.166667	
0.333333	0.3	0.0833333	0.25	
0.233333	0.6	0.166667	0.25	
0.366667	0.4	0.0833333	0.25	
0.2	0.3	0.0833333	0.166667	
0.266667	0.5	0.125	0.166667	
0.233333	0.6	0.0833333	0.25	
0.133333	0.4	0.125	0.25	
0.366667	0.6	0.125	0.166667	
0.166667	0.3	0.125	0.166667	
0.266667	0.4	0.0833333	0.166667	
0.266667	0.3	0.166667	0.166667	
0.133333	0.4	0.125	0.166667	
0.2	0.4	0.166667	0.166667	
0.3	0.6	0.125	0.25	
0.2	0.5	0.125	0.25	
0.4	0.3	0.125	0.166667	
0.266667	0.3	0.0833333	0.166667	
0.2	0.5	0.166667	0.166667	
0.2	0.4	0.125	0.166667	
